direccion,latitud,longitud,distrito,tipo_contenedor
"Anthon Van Dyck 219, Lima 15037, Peru",-12.08844280146625,-76.9926297279131,SAN BORJA,Soterrado
"Jr. Isaac Albeniz 325, San Borja 15037, Peru",-12.103385883238012,-76.99944998936412,SAN BORJA,RAEE
"V2R5+CG5 La Pradera Park, San Borja 15037, Peru",-12.10930567076723,-76.9912504453783,SAN BORJA,RAEE
"Sta. Rosa 152, Lima 15036, Peru",-12.111283310357122,-77.00764339928197,SAN BORJA,Reciclaje
"W227+5F3, San Borja 15037, Peru",-12.098615111033132,-76.98677089266796,SAN BORJA,RAEE
"Av. de las Artes Nte. 1470, San Borja 15037, Peru",-12.090353754937832,-76.9883079245711,SAN BORJA,Aceite usado
"Av. Buena Vista 356, San Borja 15037, Peru",-12.104330366971285,-76.97926534369103,SAN BORJA,Reciclaje
"Jirón El Greco 217, San Borja 15037, Peru",-12.095236572490704,-76.99295284161836,SAN BORJA,Aceite usado
"Epsilon 1, San Borja 15037, Peru",-12.109221672302464,-76.99679338378141,SAN BORJA,Reciclaje
"Bielovucic Cavalier 361, San Borja 15037, Peru",-12.103315574808471,-76.98431259018896,SAN BORJA,Reciclaje
"C. Sigma F16, San Borja 15037, Peru",-12.111019237296746,-76.9983315520889,SAN BORJA,Soterrado
"Monet 183, Lima 15037, Peru",-12.089991839030148,-76.99141060650531,SAN BORJA,Soterrado
"Sauces 401, Lima 15037, Peru",-12.087365262160471,-76.98831677661977,SAN BORJA,RAEE
"Av Blvrd de Surco 570, San Borja 15037, Peru",-12.095130315492506,-76.98899495453466,SAN BORJA,Superficial
"Jirón Gozzoli Nte. 845, Lima 15037, Peru",-12.1020114390444,-76.99739635564943,SAN BORJA,Reciclaje
"W248+3CM Mariscal Castilla Park, San Borja 15037, Peru",-12.095090028632235,-76.98403242193979,SAN BORJA,Aceite usado
"Av. del Pinar 530, San Borja 15037, Peru",-12.106070971705774,-76.99010086099194,SAN BORJA,Aceite usado
"Jr. 8 256, Lima 15037, Peru",-12.088826841839955,-76.9835825190359,SAN BORJA,Soterrado
"Av. Salaverry 2255, Av. Gral. Felipe Salaverry 22, San Isidro 15076, Peru",-12.086751944364002,-77.05039747950927,JESUS MARIA,Superficial
"Jr. Huiracocha 1944, Jesús María 15072, Peru",-12.081753473416596,-77.0524243550039,JESUS MARIA,RAEE
"Av. Gral. Felipe Salaverry 1976, Jesús María 15072, Peru",-12.083688103098728,-77.04804455235515,JESUS MARIA,Superficial
"WXM5+Q4J, Av. de la Peruanidad, Jesús María 15072, Peru",-12.065713192275204,-77.0421523931013,JESUS MARIA,Superficial
"Av Horacio Urteaga 1818, Jesús María 15072, Peru",-12.079276626021183,-77.05309068217795,JESUS MARIA,RAEE
"WW7Q+FGJ, Av. Faustino Sánchez Carrión, Jesús María 15076, Peru",-12.086226473467644,-77.06136949762467,JESUS MARIA,Aceite usado
"Nivel 2, Centro Comercial Real Plaza Salaverry, Av. Gral. Felipe Salaverry 2370, Jesús María 15076, Peru",-12.08915925443373,-77.05153322512123,JESUS MARIA,RAEE
"Parque Pedro la Rosa 196, Jesús María 15076, Peru",-12.086829428356946,-77.05983014270453,JESUS MARIA,RAEE
"Av Horacio Urteaga 2080, Jesús María 15072, Peru",-12.081526508388032,-77.0552294613407,JESUS MARIA,Aceite usado
"Edificio Los Olivos 113, Jesús María 15076, Peru",-12.08666306988899,-77.05082134960576,JESUS MARIA,Aceite usado
"WXF4+7RP, Av. Francisco Javier Mariátegui, Jesús María 15072, Peru",-12.076879095396556,-77.04267111302427,JESUS MARIA,Aceite usado
"Jirón Huamachuco 1988, Jesús María 15072, Peru",-12.081602128945187,-77.05372492896977,JESUS MARIA,Superficial
"Campo de Marte, Av. Gral. Felipe Salaverry, Jesús María 15072, Peru",-12.066886006868916,-77.0404802261942,JESUS MARIA,Reciclaje
"Av. Mello Franco 638, Jesús María 15072, Peru",-12.077826941611992,-77.0486052598418,JESUS MARIA,RAEE
"Jirón Domingo Cueto 578, Lince 15073, Peru",-12.080276088638726,-77.0411140750824,JESUS MARIA,RAEE
"Calle Almte. Guisse 912, Jesús María 15072, Peru",-12.073905316584138,-77.03967959691256,JESUS MARIA,Aceite usado
"WXC3+HQR, Jirón Pachacútec, Jesús María 15072, Peru",-12.078560863307056,-77.04561864699428,JESUS MARIA,RAEE
"Av Horacio Urteaga 1005, Jesús María 15072, Peru",-12.071541991807996,-77.04639285165271,JESUS MARIA,Soterrado
"Av. Cayetano Heredia 895, Lima 15072, Peru",-12.080980339352283,-77.04873059964754,JESUS MARIA,Reciclaje
"Av. 28 de Julio 164, Jesús María LIMA 51, Peru",-12.065263832187478,-77.04466443511669,JESUS MARIA,Aceite usado
"WW6W+GX6, Jesús María 15076, Peru",-12.08888606140939,-77.0528372200285,JESUS MARIA,Reciclaje
"Av. República de Chile 500, Jesús María 15072, Peru",-12.070139807533298,-77.03863682509949,JESUS MARIA,Reciclaje
"WWGX+M82, Jesús María 15072, Peru",-12.07344236214217,-77.05164335287232,JESUS MARIA,Superficial
"Jirón Pachacútec 962, Jesús María 15072, Peru",-12.071921687021533,-77.04460428725366,JESUS MARIA,Reciclaje
"WW6W+MFQ C. C, Jesús María 15076, Peru",-12.088253184346428,-77.05366467679161,JESUS MARIA,Aceite usado
"Jr. Mayta Capac 810, Jesús María 15072, Peru",-12.07306030387314,-77.04214910806809,JESUS MARIA,Soterrado
"Jr. Mariscal Luzuriaga 268, Jesús María 15072, Peru",-12.074394851291537,-77.050627029898,JESUS MARIA,Superficial
"Calle Mariscal Juan Miller 957, Jesús María 15072, Peru",-12.074317509294568,-77.03802328611727,JESUS MARIA,Reciclaje
"Pje. Francisco Brenner 130, Lima 15072, Peru",-12.079700851061716,-77.05691737873433,JESUS MARIA,Soterrado
